,Date,Adv,Dec,Adv_Dec_Ratio,Adv_Dec_Ratio_Recalc,Mean_Adv_Dec_Ratio
0,2021-04-15,754,1166,0.65,0.6466552315608919,1.2282954570418163
0,2021-04-16,1133,763,1.48,1.4849279161205766,1.2298688741340564
0,2021-04-19,380,1598,0.24,0.23779724655819776,1.2244038948494018
0,2021-04-20,1073,828,1.3,1.2958937198067633,1.2230901047747422
0,2021-04-22,1136,782,1.45,1.4526854219948848,1.223430325955599
0,2021-04-23,1028,864,1.19,1.1898148148148149,1.2217180522675188
0,2021-04-26,1281,664,1.93,1.9292168674698795,1.2358146902159608
0,2021-04-27,1325,570,2.32,2.324561403508772,1.2388834553764503
0,2021-04-28,1204,716,1.68,1.681564245810056,1.238031459350586
0,2021-04-29,867,1042,0.83,0.8320537428023033,1.2264748846434324
0,2021-04-30,799,1087,0.74,0.735050597976081,1.2200565464020876
0,2021-05-03,1162,788,1.47,1.4746192893401016,1.2102780914081646
0,2021-05-04,778,1134,0.69,0.6860670194003528,1.2042782415076057
0,2021-05-05,1187,707,1.68,1.6789250353606788,1.1945261384777537
0,2021-05-06,1056,850,1.24,1.2423529411764707,1.1976969638580532
0,2021-05-07,1097,834,1.32,1.315347721822542,1.1966106388513098
0,2021-05-10,1353,643,2.1,2.104199066874028,1.2116229754838062
0,2021-05-11,1182,772,1.53,1.5310880829015545,1.2131639664719405
0,2021-05-12,887,1089,0.81,0.8145087235996327,1.2033320092316095
0,2021-05-14,761,1220,0.62,0.6237704918032787,1.2002218880626858
0,2021-05-17,1340,650,2.06,2.0615384615384613,1.20455882555625
0,2021-05-18,1201,756,1.59,1.5886243386243386,1.2124926009351806
0,2021-05-19,1107,857,1.29,1.2917152858809802,1.2191304895799435
0,2021-05-20,942,1010,0.93,0.9326732673267327,1.2269592465447088
0,2021-05-21,1202,751,1.6,1.600532623169108,1.2315090172208445
0,2021-05-24,1202,796,1.51,1.5100502512562815,1.1959573458203636
0,2021-05-25,1030,950,1.08,1.0842105263157895,1.193272178356249
0,2021-05-26,1244,737,1.69,1.6879240162822253,1.1861757240746267
0,2021-05-27,1037,922,1.12,1.1247288503253796,1.1880579332128012
0,2021-05-28,774,1207,0.64,0.6412593206296603,1.1829969606148232
0,2021-05-31,1102,914,1.21,1.2056892778993435,1.181088985137857
0,2021-06-01,730,1247,0.59,0.5854049719326383,1.1646587708977925
0,2021-06-02,1375,587,2.34,2.3424190800681433,1.1653180610362222
0,2021-06-03,1360,625,2.18,2.176,1.1742060887178831
0,2021-06-04,1116,859,1.3,1.2991850989522702,1.1795351386369328
0,2021-06-07,1418,637,2.23,2.2260596546310834,1.1853778247354827
0,2021-06-08,1059,915,1.16,1.157377049180328,1.18484336523856
0,2021-06-09,708,1282,0.55,0.5522620904836193,1.1839362340772803
0,2021-06-10,1543,473,3.26,3.2621564482029597,1.2052491835102368
0,2021-06-11,1043,959,1.09,1.0875912408759123,1.2110296031764445
0,2021-06-14,899,1138,0.79,0.7899824253075571,1.2100057483688547
0,2021-06-15,1188,810,1.47,1.4666666666666666,1.221055096599767
0,2021-06-16,726,1291,0.56,0.5623547637490317,1.2240187329009686
0,2021-06-17,687,1324,0.52,0.5188821752265861,1.2015286378253816
0,2021-06-18,565,1436,0.39,0.3934540389972145,1.1948228366998788
0,2021-06-21,1255,770,1.63,1.62987012987013,1.206731472257163
0,2021-06-22,1212,792,1.53,1.5303030303030303,1.2187940134297586
0,2021-06-23,782,1194,0.65,0.6549413735343383,1.2219048547560423
0,2021-06-24,783,1186,0.66,0.6602023608768971,1.2238305645795864
0,2021-06-25,1070,902,1.19,1.1862527716186253,1.22607257947526
0,2021-06-28,1069,940,1.14,1.1372340425531915,1.229130743655581
0,2021-06-29,903,1084,0.83,0.8330258302583026,1.2152534237044572
0,2021-06-30,965,1017,0.95,0.9488692232055064,1.207469388663785
0,2021-07-01,966,1011,0.96,0.9554896142433235,1.2006918672238007
